cgmachl	4	5	5	5	Worked alot with Loan Le, graduate student in the lab. Awesome experience!
felten	4	4	3	5	
ogt	5	4	5	4	
harman	4	5	1	2	
adame	2	4	2	2	
mbraverm	5	5	5	5	
bwk	5	5	3	5	Kernighan is a great professor to come to with program design / implementation questions, and will keep you on track by asking for a regular meeting and email update once a week. I'd recommend him as an advisor for just about any practical independent work project, but especially for those that are off the beaten path.
chiangm	2	4	1	3	Very hands off. I usually had no idea what he wanted or was thinking. The graduate students and post docs he assigns to help are very helpful though.
rdondero	5	5	5	5	
wbakr	5	5	5	5	
fellbaum	5	5	5	5	She's excited by everything and very involved with all of her advisees. Really fantastic.
cgmachl	2	2	4	3	
amahmoud	4	3	4	5	(I'm MOL/GHP.) While Mahmoud is not very hands-on in designing your project, he's totally the man. He has tons of connections and is laid back. He puts his confidence in his students abilities.
kintali	5	5	4	5	Shiva expects you to meet every week and have progress to discuss in detail. I was doing an applications project, not theory, so this may be different for theory students. This style worked very well for me and I would highly recommend him as an advisor.
mfreed	5	5	4	5	Just awesome.
fellbaum	3	5	5	3	Professor Fellbaum will give you good general ideas for things to do, but is usually badly overextended and won't have the effort to get upset if you aren't making good progress or using good methods. I turned in a bad project and received a generous grade for its quality, but I didn't learn as much as I wish I had about doing research.
felten	4	5	4	5	
felten	5	4	4	5	Professor Felten is a wonderful advisor! He does get busy and/or travel somewhat frequently, so you have to be pro-active about scheduling meetings rather than just having a weekly slot, but he's very invested during meetings and will certainly spend as much time as you need from project design through implementation. However he is fairly laid back and won't pressure you to have too much done. If you're interested in computer security, tech policy, or closely related areas, I highly recommend Professor Felten.
mfreed	4	5	5	3	
fellbaum	3	5	4	5	Professor Fellbaum is a fantastic advisor, who is deeply invested in her advisees. She's very good at coming up with topics that are interesting, and she's very willing to meet with you to talk about your project. She's more of a hands-off advisor outside of initial planning, so at times it's hard to proceed when you're stuck, but overall, she's a fantastic advisor.
bwk	4	5	2	5	
wentzlaf	5	5	3	5	David has a lot of cutting edge research projects - he isn't afraid to trust undergraduates with large, important projects. Be aware that he will require at least two two weekly meetings (one individual and one with the rest of the research team). He is very bright and willing to lend a hand when you need it. (he also plans skiing trips with the team which are a ton of fun).                                                 David is also one of the most demanding advisors in the department - expect to be hitting page 40 on your report before other people have even solidified topics. You'll do legitimate work, but possibly at the cost of your other courses."                                                
nverma	5	4	3	5	Naveen has a ton of interesting projects. He is a laid back advisor who's main concern is that you grasp the fundamental understanding of things - not necessarily that you do thousands of hours of work. His research group is hard to break into socially, but is really a very friendly bunch of people.
jrex	5	4	4	5	
jbl	3	5	4	4	Good advisor-- while a bit spacey at times, he was often as available as I needed him to be. Gave me third draft JP corrections only two days before due date, however.
wmassey	2	3	2	2	
felten	4	4	4	5	
felten	4	4	3	3	
cmoretti	5	4	4	4	
hflower	5	4	3	5	
bocarsly	2	2	1	1	
gblix	5	4	1	5	
dobber	3	2	3	4	I was looking for a relatively hands-off, flexible adviser so this worked out well. He's very busy and generally unavailable though not very demanding. It just depends on what you're looking for--pick your poison.
choueiri	2	2	4	2	
muellerm	5	5	5	5	great advisor, would pick him again
yju	3	3	2	4	Heavy accent makes it somewhat difficult to communicate. Extremely brilliant. Very busy in his own lab, so a good choice for a student looking for a low-maintenance advisor.
cmoretti	5	5	2	5	Chris is da bomb. Absolutely love him.
mfreed	3	3	5	3	
gigi	5	4	5	5	
li	5	5	5	4	
appel	5	5	4	5	
jasonf	3	4	5	4	
schapire	4	4	4	5	Great guy, incredibly intelligent and yet humble, patient and caring. You have to take the initiative (as in he won't pressure you) but he'll always have time for you!
bwk	5	5	3	5	Woo I like Kernighan.
bwk	4	5	2	4	
dan	5	5	4	5	
mfshack	4	4	4	4	
bkoel	4	3	5	5	
rcarmona	5	3	4	5	
dpw	5	5	5	5	
wayne	5	5	5	5	Kevin Wayne is the man.
chiangm	3	4	5	3	Awesome dude -- too busy to be a highly involved advisor. Cool project as well, but be prepared for a lot of autonomy.
fellbaum	5	5	4	5	
bwk	5	5	5	5	
arvindn	5	5	5	5	
fiebrink	5	5	5	5	
bwk	5	5	1	5	
moses	3	5	1	5	If you email Moses Charikar late at night (like 12 am) you sometimes have a pretty high chance of him responding very quickly. Otherwise, it can be somewhat hard to get a hold of him by email. Nonetheless, he is still available and is good at suggesting problems. He is pretty relaxed and is very helpful during meetings.
haykel	5	3	3	5	Personally, I found Prof. Haykel really great - he was helpful when I needed him, and gave really thoughtful feedback, but I didn't find that he was overbearing or demanding to meet with me. It was definitely up to me when I wanted to see him, ask for his help, etc. This style might not suit everyone, but I personally found it really useful for my style of working.
jahiggin	3	4	5	4	
smr	5	5	4	5	He's a bauss
farber	4	3	4	4	Farber knows his stuff, but can be very overbearing at times. It often felt like he was being demanding just for the sake of an increased workload. He is a tough grader when it comes to this stuff, but is definitely very passionate about working with datasets to solve problems.
rdondero	5	5	1	5	Robert Dondero is an incredible pedagogue and advisor.
muellerm	5	4	2	5	
xj	5	5	4	5	
sondhi	1	5	4	5	Hard to reach via email, but almost always reachable in his office.
appel	4	4	5	5	Andrew Appel is a wonderful advisor. He's brilliant and inspires me to do better work. He cares about theory but is also a pragmatist, a rare and awesome combination.
dpw	4	4	4	4	David Walker is great overall. He's somewhat hands-off, which may not be the best advising style for everyone. If you need an advisor to watch over you more closely and be more active in keeping you on target, you should bear this in mind. He won't do this for you (unless you ask specifically).
cgmachl	5	5	4	5	
wingreen	5	5	5	5	He advises me whenever he can... Even on the weekends...
lrosenbe	5	5	5	5	
